songID,songTitle,SongArtistTitle,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,"['reggaeton', 'trap latino', 'urbano latino']",91,0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,audio_features,7ro0hRteUMfnOioTFI5TG1,spotify:track:7ro0hRteUMfnOioTFI5TG1,https://api.spotify.com/v1/tracks/7ro0hRteUMfnOioTFI5TG1,https://api.spotify.com/v1/audio-analysis/7ro0hRteUMfnOioTFI5TG1,231704,4
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,"['pop', 'r&b', 'rap']",94,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),"['afrobeats', 'nigerian pop', 'pop', 'post-teen pop']",95,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4
0yLdNVWF3Srea0uzk55zFn,Flowers,['pop'],97,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,audio_features,0yLdNVWF3Srea0uzk55zFn,spotify:track:0yLdNVWF3Srea0uzk55zFn,https://api.spotify.com/v1/tracks/0yLdNVWF3Srea0uzk55zFn,https://api.spotify.com/v1/audio-analysis/0yLdNVWF3Srea0uzk55zFn,200455,4
6l8mgVN9Xf1hiDIFGA6CTE,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"['pop', 'r&b', 'conscious hip hop', 'hip hop', 'rap', 'west coast rap']",77,0.784,0.7,1,-5.289,1,0.0396,0.0112,1.76e-05,0.163,0.204,126.015,audio_features,6l8mgVN9Xf1hiDIFGA6CTE,spotify:track:6l8mgVN9Xf1hiDIFGA6CTE,https://api.spotify.com/v1/tracks/6l8mgVN9Xf1hiDIFGA6CTE,https://api.spotify.com/v1/audio-analysis/6l8mgVN9Xf1hiDIFGA6CTE,260962,4
6AQbmUe0Qwf5PZnt4HmTXv,Boy's a Liar Pt. 2,['bronx drill'],96,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,audio_features,6AQbmUe0Qwf5PZnt4HmTXv,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv,131013,4
7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,['k-pop girl group'],98,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,audio_features,7FbrGaHYVDmfr7KoLIZnQ7,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/tracks/7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/audio-analysis/7FbrGaHYVDmfr7KoLIZnQ7,174253,4
7oDd86yk8itslrA9HRP2ki,Die For You - Remix,"['canadian contemporary r&b', 'canadian pop', 'pop']",93,0.531,0.525,1,-6.5,0,0.0671,0.232,0,0.441,0.502,66.9,audio_features,7oDd86yk8itslrA9HRP2ki,spotify:track:7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/tracks/7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/audio-analysis/7oDd86yk8itslrA9HRP2ki,232857,4
4LRPiXqCikLlN15c3yImP7,As It Was,['pop'],92,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303,4
1odExI7RdWc4BT515LTAwj,Daylight,['gen z singer-songwriter'],97,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,spotify:track:1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4
